Segment	Protein Name	Sequence Accession	Complete Genome	Segment Length	Subtype	Collection Date	Host Species	Country	State/Province	Flu Season	Strain Name	Curation Report	
5	NP	MH606322	Yes	1816	-N/A-	04/16/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/28/2018	Pass	
3	PA	MH606320	Yes	2276	-N/A-	04/16/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/28/2018	Pass	
7	-N/A-,-N/A-	MH606318	Yes	1155	-N/A-	04/16/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/28/2018	Pass	
4	HA	MH606321	Yes	1853	-N/A-	04/16/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/28/2018	Pass	
8	-N/A-,-N/A-	MH606329	Yes	1066	-N/A-	04/19/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/29/2018	Pass	
6	-N/A-,-N/A-	MH606327	Yes	1528	-N/A-	04/19/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/29/2018	Pass	
4	HA	MH606325	Yes	1850	-N/A-	04/19/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/29/2018	Pass	
1	PB1	MH606331	Yes	2340	-N/A-	04/19/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/29/2018	Pass	
5	NP	MH606326	Yes	1816	-N/A-	04/19/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/29/2018	Pass	
7	-N/A-,-N/A-	MH606328	Yes	1154	-N/A-	04/19/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/29/2018	Pass	
2	PB2	MH606330	Yes	2367	-N/A-	04/19/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/29/2018	Pass	
3	PA	MH606332	Yes	2276	-N/A-	04/19/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/29/2018	Pass	
8	-N/A-,-N/A-	MH606340	Yes	1066	-N/A-	04/23/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/30/2018	Pass	
7	-N/A-,-N/A-	MH606339	Yes	1154	-N/A-	04/23/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/30/2018	Pass	
6	-N/A-,-N/A-	MH606338	Yes	1528	-N/A-	04/23/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/30/2018	Pass	
4	HA	MH606336	Yes	1850	-N/A-	04/23/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/30/2018	Pass	
1	PB1	MH606334	Yes	2340	-N/A-	04/23/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/30/2018	Pass	
5	NP	MH606337	Yes	1816	-N/A-	04/23/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/30/2018	Pass	
3	PA	MH606335	Yes	2276	-N/A-	04/23/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/30/2018	Pass	
2	PB2	MH606333	Yes	2367	-N/A-	04/23/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/30/2018	Pass	
4	HA	MH606344	Yes	1850	-N/A-	04/26/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/31/2018	Pass	
6	-N/A-,-N/A-	MH606346	Yes	1528	-N/A-	04/26/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/31/2018	Pass	
7	-N/A-,-N/A-	MH606347	Yes	1154	-N/A-	04/26/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/31/2018	Pass	
1	PB1	MH606342	Yes	2340	-N/A-	04/26/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/31/2018	Pass	
5	NP	MH606345	Yes	1816	-N/A-	04/26/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/31/2018	Pass	
3	PA	MH606343	Yes	2276	-N/A-	04/26/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/31/2018	Pass	
2	PB2	MH606341	Yes	2367	-N/A-	04/26/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/31/2018	Pass	
8	-N/A-,-N/A-	MH606348	Yes	1066	-N/A-	04/26/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/31/2018	Pass	
8	-N/A-,-N/A-	MH606356	Yes	1062	-N/A-	04/30/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/32/2018	Pass	
4	HA	MH606352	Yes	1853	-N/A-	04/30/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/32/2018	Pass	
3	PA	MH606351	Yes	2275	-N/A-	04/30/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/32/2018	Pass	
7	-N/A-,-N/A-	MH606355	Yes	1155	-N/A-	04/30/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/32/2018	Pass	
5	NP	MH606353	Yes	1816	-N/A-	04/30/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/32/2018	Pass	
1	PB1	MH606350	Yes	2340	-N/A-	04/30/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/32/2018	Pass	
6	-N/A-,-N/A-	MH606354	Yes	1530	-N/A-	04/30/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/32/2018	Pass	
2	PB2	MH606349	Yes	2367	-N/A-	04/30/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/32/2018	Pass	
7	-N/A-,-N/A-	MH606360	Yes	1155	-N/A-	01/15/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/34/2018	Pass	
6	-N/A-,-N/A-	MH606359	Yes	1529	-N/A-	01/15/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/34/2018	Flag-NCR	
3	PA	MH606357	Yes	2275	-N/A-	01/15/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/34/2018	Pass	
5	NP	MH606364	Yes	1816	-N/A-	01/15/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/34/2018	Pass	
1	PB1	MH606362	Yes	2340	-N/A-	01/15/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/34/2018	Pass	
4	HA	MH606363	Yes	1853	-N/A-	01/15/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/34/2018	Pass	
8	-N/A-,-N/A-	MH606358	Yes	1062	-N/A-	01/15/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/34/2018	Pass	
2	PB2	MH606361	Yes	2367	-N/A-	01/15/2018	IRD:Human	USA	Connecticut	17-18	B/Connecticut/34/2018	Pass	
1	PB1	CY263435	Yes	2340	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
1	PB1	CY262301	Yes	2340	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
6	NA,NB	CY263440	Yes	1528	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
8	NS1,NS2	CY263442	Yes	1066	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
5	NP	CY263439	Yes	1815	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
5	NP	CY262305	Yes	1815	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
7	-N/A-,M1	CY262307	Yes	1154	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
4	HA	CY262304	Yes	1850	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
3	PA	CY262303	Yes	2276	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
2	PB2	CY263436	Yes	2367	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
4	HA	CY263438	Yes	1850	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
7	-N/A-,M1	CY263441	Yes	1154	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
2	PB2	CY262302	Yes	2367	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
6	NA,NB	CY262306	Yes	1528	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
8	NS1,NS2	CY262308	Yes	1066	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
3	PA	CY263437	Yes	2276	-N/A-	11/06/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/52/2017	Pass	
4	HA	MH080916	Yes	1853	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
6	NA,NB	CY263575	Yes	1530	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
3	PA	CY263572	Yes	2275	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
5	NP	CY263574	Yes	1816	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
5	NP	MH080917	Yes	1816	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
1	PB1	MH080915	Yes	2340	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
2	PB2	MH080913	Yes	2367	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
3	PA	MH080911	Yes	2275	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
8	NS1,NS2	CY263577	Yes	1062	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
7	-N/A-,M1	CY263576	Yes	1155	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
4	HA	CY263573	Yes	1853	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
2	PB2	CY263571	Yes	2367	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
1	PB1	CY263570	Yes	2340	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
8	-N/A-,-N/A-	MH080914	Yes	1062	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
7	-N/A-,-N/A-	MH080912	Yes	1155	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
6	-N/A-,-N/A-	MH080910	Yes	1530	-N/A-	11/24/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/53/2017	Pass	
8	NS1,NS2	CY263585	Yes	1062	-N/A-	11/28/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/54/2017	Pass	
7	-N/A-,M1	CY263584	Yes	1155	-N/A-	11/28/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/54/2017	Pass	
6	NA,NB	CY263583	Yes	1530	-N/A-	11/28/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/54/2017	Pass	
3	PA	CY263580	Yes	2275	-N/A-	11/28/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/54/2017	Pass	
5	NP	CY263582	Yes	1816	-N/A-	11/28/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/54/2017	Pass	
1	PB1	CY263578	Yes	2340	-N/A-	11/28/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/54/2017	Pass	
2	PB2	CY263579	Yes	2367	-N/A-	11/28/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/54/2017	Pass	
4	HA	CY263581	Yes	1853	-N/A-	11/28/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/54/2017	Pass	
5	NP	MH080924	Yes	1816	-N/A-	12/22/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/56/2017	Pass	
4	HA	MH080923	Yes	1853	-N/A-	12/22/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/56/2017	Pass	
2	PB2	MH080920	Yes	2367	-N/A-	12/22/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/56/2017	Pass	
6	-N/A-,-N/A-	MH080919	Yes	1530	-N/A-	12/22/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/56/2017	Pass	
3	PA	MH080922	Yes	2275	-N/A-	12/22/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/56/2017	Pass	
8	-N/A-,-N/A-	MH080918	Yes	1062	-N/A-	12/22/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/56/2017	Pass	
1	PB1	MH080921	Yes	2340	-N/A-	12/22/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/56/2017	Pass	
7	-N/A-,-N/A-	MH080925	Yes	1155	-N/A-	12/22/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/56/2017	Pass	
5	NP	MH080930	Yes	1816	-N/A-	12/26/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/57/2017	Pass	
6	-N/A-,-N/A-	MH080931	Yes	1530	-N/A-	12/26/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/57/2017	Pass	
8	-N/A-,-N/A-	MH080933	Yes	1062	-N/A-	12/26/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/57/2017	Pass	
3	PA	MH080928	Yes	2275	-N/A-	12/26/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/57/2017	Pass	
4	HA	MH080929	Yes	1853	-N/A-	12/26/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/57/2017	Pass	
1	PB1	MH080927	Yes	2340	-N/A-	12/26/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/57/2017	Pass	
2	PB2	MH080926	Yes	2367	-N/A-	12/26/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/57/2017	Pass	
7	-N/A-,-N/A-	MH080932	Yes	1155	-N/A-	12/26/2017	IRD:Human	USA	Connecticut	17-18	B/Connecticut/57/2017	Pass	
3	PA	MH080936	Yes	2275	-N/A-	01/01/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/01/2018	Pass	
5	NP	MH080938	Yes	1815	-N/A-	01/01/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/01/2018	Pass	
6	-N/A-,-N/A-	MH080939	Yes	1530	-N/A-	01/01/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/01/2018	Pass	
8	-N/A-,-N/A-	MH080941	Yes	1063	-N/A-	01/01/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/01/2018	Pass	
1	PB1	MH080935	Yes	2340	-N/A-	01/01/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/01/2018	Pass	
4	HA	MH080937	Yes	1853	-N/A-	01/01/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/01/2018	Pass	
7	-N/A-,-N/A-	MH080940	Yes	1155	-N/A-	01/01/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/01/2018	Pass	
2	PB2	MH080934	Yes	2367	-N/A-	01/01/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/01/2018	Pass	
1	PB1	MH135995	Yes	2340	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/02/2018	Pass	
4	HA	MH135997	Yes	1850	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/02/2018	Pass	
6	-N/A-,-N/A-	MH135999	Yes	1528	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/02/2018	Pass	
8	-N/A-,-N/A-	MH136001	Yes	1066	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/02/2018	Pass	
2	PB2	MH135994	Yes	2367	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/02/2018	Pass	
3	PA	MH135996	Yes	2276	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/02/2018	Pass	
7	-N/A-,-N/A-	MH136000	Yes	1154	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/02/2018	Pass	
5	NP	MH135998	Yes	1816	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/02/2018	Pass	
6	-N/A-,-N/A-	MH136007	Yes	1530	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/03/2018	Pass	
8	-N/A-,-N/A-	MH136009	Yes	1062	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/03/2018	Pass	
4	HA	MH136005	Yes	1853	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/03/2018	Pass	
2	PB2	MH136002	Yes	2367	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/03/2018	Pass	
1	PB1	MH136003	Yes	2340	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/03/2018	Pass	
7	-N/A-,-N/A-	MH136008	Yes	1155	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/03/2018	Pass	
5	NP	MH136006	Yes	1816	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/03/2018	Pass	
3	PA	MH136004	Yes	2275	-N/A-	01/19/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/03/2018	Pass	
1	PB1	MH583198	Yes	2340	-N/A-	01/25/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/04/2018	Pass	
3	PA	MH583199	Yes	2275	-N/A-	01/25/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/04/2018	Pass	
8	-N/A-,-N/A-	MH583204	Yes	1062	-N/A-	01/25/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/04/2018	Pass	
7	-N/A-,-N/A-	MH583203	Yes	1155	-N/A-	01/25/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/04/2018	Pass	
6	-N/A-,-N/A-	MH583202	Yes	1530	-N/A-	01/25/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/04/2018	Pass	
4	HA	MH583200	Yes	1853	-N/A-	01/25/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/04/2018	Pass	
2	PB2	MH583197	Yes	2367	-N/A-	01/25/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/04/2018	Pass	
5	NP	MH583201	Yes	1815	-N/A-	01/25/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/04/2018	Pass	
8	-N/A-,-N/A-	MH583211	Yes	1066	-N/A-	01/27/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/05/2018	Pass	
6	-N/A-,-N/A-	MH583209	Yes	1528	-N/A-	01/27/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/05/2018	Pass	
1	PB1	MH583205	Yes	2340	-N/A-	01/27/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/05/2018	Pass	
2	PB2	MH583212	Yes	2367	-N/A-	01/27/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/05/2018	Pass	
7	-N/A-,-N/A-	MH583210	Yes	1154	-N/A-	01/27/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/05/2018	Pass	
5	NP	MH583208	Yes	1816	-N/A-	01/27/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/05/2018	Pass	
4	HA	MH583207	Yes	1850	-N/A-	01/27/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/05/2018	Pass	
3	PA	MH583206	Yes	2276	-N/A-	01/27/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/05/2018	Pass	
2	PB2	MH583213	Yes	2367	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/06/2018	Pass	
7	-N/A-,-N/A-	MH583217	Yes	1155	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/06/2018	Pass	
3	PA	MH583219	Yes	2275	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/06/2018	Pass	
1	PB1	MH583214	Yes	2341	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/06/2018	Pass	
6	-N/A-,-N/A-	MH583216	Yes	1529	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/06/2018	Pass	
8	-N/A-,-N/A-	MH583218	Yes	1062	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/06/2018	Pass	
4	HA	MH583220	Yes	1853	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/06/2018	Pass	
5	NP	MH583215	Yes	1816	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/06/2018	Pass	
1	PB1	MH583222	Yes	2340	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/07/2018	Pass	
4	HA	MH583224	Yes	1850	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/07/2018	Pass	
6	-N/A-,-N/A-	MH583226	Yes	1528	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/07/2018	Pass	
7	-N/A-,-N/A-	MH583227	Yes	1154	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/07/2018	Pass	
2	PB2	MH583221	Yes	2367	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/07/2018	Pass	
5	NP	MH583225	Yes	1816	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/07/2018	Pass	
3	PA	MH583223	Yes	2276	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/07/2018	Pass	
8	-N/A-,-N/A-	MH583228	Yes	1066	-N/A-	02/12/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/07/2018	Pass	
8	-N/A-,-N/A-	MH245290	Yes	1062	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/08/2018	Pass	
6	-N/A-,-N/A-	MH245292	Yes	1530	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/08/2018	Pass	
4	HA	MH245294	Yes	1853	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/08/2018	Pass	
1	PB1	MH245296	Yes	2340	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/08/2018	Pass	
7	-N/A-,-N/A-	MH245291	Yes	1155	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/08/2018	Pass	
5	NP	MH245293	Yes	1816	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/08/2018	Pass	
3	PA	MH245295	Yes	2275	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/08/2018	Pass	
2	PB2	MH245297	Yes	2367	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/08/2018	Pass	
8	-N/A-,-N/A-	MH245298	Yes	1066	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/09/2018	Pass	
6	-N/A-,-N/A-	MH245300	Yes	1528	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/09/2018	Pass	
4	HA	MH245302	Yes	1850	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/09/2018	Pass	
2	PB2	MH245305	Yes	2367	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/09/2018	Pass	
7	-N/A-,-N/A-	MH245299	Yes	1154	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/09/2018	Pass	
5	NP	MH245301	Yes	1815	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/09/2018	Pass	
3	PA	MH245303	Yes	2276	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/09/2018	Pass	
1	PB1	MH245304	Yes	2340	-N/A-	02/26/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/09/2018	Pass	
1	PB1	MH584186	Yes	2341	-N/A-	03/08/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/10/2018	Pass	
8	-N/A-,-N/A-	MH584182	Yes	1062	-N/A-	03/08/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/10/2018	Pass	
6	-N/A-,-N/A-	MH584183	Yes	1529	-N/A-	03/08/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/10/2018	Pass	
7	-N/A-,-N/A-	MH584187	Yes	1155	-N/A-	03/08/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/10/2018	Pass	
3	PA	MH584185	Yes	2276	-N/A-	03/08/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/10/2018	Pass	
2	PB2	MH584181	Yes	2367	-N/A-	03/08/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/10/2018	Pass	
5	NP	MH584184	Yes	1816	-N/A-	03/08/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/10/2018	Pass	
4	HA	MH584188	Yes	1853	-N/A-	03/08/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/10/2018	Pass	
7	-N/A-,-N/A-	MH584190	Yes	1154	-N/A-	03/09/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/11/2018	Pass	
8	-N/A-,-N/A-	MH584189	Yes	1066	-N/A-	03/09/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/11/2018	Pass	
3	PA	MH584191	Yes	2276	-N/A-	03/09/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/11/2018	Pass	
2	PB2	MH584193	Yes	2367	-N/A-	03/09/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/11/2018	Pass	
5	NP	MH584195	Yes	1816	-N/A-	03/09/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/11/2018	Pass	
4	HA	MH584196	Yes	1850	-N/A-	03/09/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/11/2018	Pass	
1	PB1	MH584192	Yes	2340	-N/A-	03/09/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/11/2018	Pass	
6	-N/A-,-N/A-	MH584194	Yes	1528	-N/A-	03/09/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/11/2018	Pass	
2	PB2	MH363068	Yes	2367	-N/A-	03/20/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/12/2018	Pass	
7	-N/A-,-N/A-	MH363074	Yes	1154	-N/A-	03/20/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/12/2018	Pass	
3	PA	MH363070	Yes	2276	-N/A-	03/20/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/12/2018	Pass	
5	NP	MH363072	Yes	1815	-N/A-	03/20/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/12/2018	Pass	
8	-N/A-,-N/A-	MH363075	Yes	1066	-N/A-	03/20/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/12/2018	Pass	
6	-N/A-,-N/A-	MH363073	Yes	1528	-N/A-	03/20/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/12/2018	Pass	
4	HA	MH363071	Yes	1850	-N/A-	03/20/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/12/2018	Pass	
1	PB1	MH363069	Yes	2340	-N/A-	03/20/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/12/2018	Pass	
8	-N/A-,-N/A-	MH363083	Yes	1062	-N/A-	03/21/2018	IRD:Human	USA	Delaware	17-18	B/Delaware/13/2018	Pass	
